,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
4931,1, 7, SHOW MISSION, (T436), J Moreira, Y S Tsui, 121, 1097, 1, -, 0.57.40, 1.9,20160907,20160907_1
4932,3, 12, NOBLE BUDDIES, (T356), M L Yeung, A Lee, 112, 1187, 5, 3-1/4, 0.57.92, 32,20160907,20160907_1
4933,5, 3, GOLDEN GLORY, (T076), K Teetan, T P Yung, 131, 1077, 6, 3-1/4, 0.57.94, 16,20160907,20160907_1
4934,7, 6, HIGHLAND DRAGON, (N265), N Callan, T K Ng, 124, 1088, 2, 4-3/4, 0.58.16, 16,20160907,20160907_1
4935,9, 11, ALL TIMES LUCKY, (P064), T H So, L Ho, 111, 1054, 10, 6-1/4, 0.58.41, 20,20160907,20160907_1
4936,11, 10, KING OF SMARTS, (S176), K K Chiong, D Cruz, 109, 1107, 8, 9-1/2, 0.58.91, 24,20160907,20160907_1
4937,2, 5, GIDDY GIDDY, (S367), O Doleuze, J Size, 126, 1136, 12, 2-3/4, 0.57.83, 9,20160907,20160907_1
4938,4, 9, PERFECT SMART, (S413), C Y Ho, C W Chang, 115, 1072, 7, 3-1/4, 0.57.93, 44,20160907,20160907_1
4939,6, 8, ALL TOGETHER, (T420), M Chadwick, C S Shum, 118, 1090, 4, 4-1/4, 0.58.07, 11,20160907,20160907_1
4940,8, 2, PROMPT EXPRESS, (T168), Z Purton, P F Yiu, 132, 1142, 11, 6, 0.58.37, 5.3,20160907,20160907_1
4941,10, 4, FLYING PROSPERITY, (V159), K C Leung, D E Ferraris, 128, 1142, 9, 8-1/4, 0.58.71, 99,20160907,20160907_1
4942,12, 1, FANTASTIC FABIO, (V364), H N Wong, C H Yip, 126, 1076, 3, 11-1/4, 0.59.20, 34,20160907,20160907_1
4943,1, 3, PERPETUAL JOYANCE, (V229), K Teetan, J Size, 131, 1134, 1, -, 0.57.54, 3.8,20160907,20160907_2
4944,3, 7, BUMBLE BABY, (V306), D Whyte, J Moore, 124, 1131, 2, 1, 0.57.75, 4,20160907,20160907_2
4945,5, 11, KWAICHUNG BROTHERS, (A012), T H So, R Gibson, 114, 1140, 3, 2-1/4, 0.57.90, 60,20160907,20160907_2
4946,7, 9, FOXBAT, (V418), K C Leung, P F Yiu, 121, 1082, 4, 4-1/4, 0.58.20, 43,20160907,20160907_2
4947,9, 5, BEEKELY, (A047), S Clipperton, D J Hall, 125, 1103, 7, 5-1/2, 0.58.41, 24,20160907,20160907_2
